file_name peak_id t r sid col
BD18_1411061800_ims.csv 13 0.53519 9.438 7 #8BACE9
BD18_1411061800_ims.csv 39 0.50794 13.432 7 #8DF2BA
BD18_1411061800_ims.csv 12 0.54795 7.457 7 #7B2FD1
BD18_1411061800_ims.csv 15 0.81355 29.344 7 #EDD2E7
BD18_1411061800_ims.csv 16 0.59782 29.344 7 #3AC6AD
BD18_1411061800_ims.csv 17 0.64305 29.344 7 #FAF8DF
BD18_1411061800_ims.csv 86 0.57695 41.231 7 #F82378
BD18_1411061800_ims.csv 43 0.5984 56.145 7 #F047BD
BD18_1411061800_ims.csv 34 0.96084 96.502 7 #D68295
BD18_1411061800_ims.csv 34 0.95388 96.502 7 #D68295
BD18_1411061800_ims.csv 34 0.94866 96.502 7 #D68295
BD18_1411061800_ims.csv 34 0.9794 96.502 7 #D68295
BD18_1411061800_ims.csv 34 0.92489 96.502 7 #D68295
BD18_1411061800_ims.csv 70 0.60652 97.485 7 #7CCE38
BD18_1411061800_ims.csv 37 0.88951 116.361 7 #12EB05
BD18_1411061839_ims.csv 1 0.47964 0 8 #B3D6C8
BD18_1411061839_ims.csv 1 0.50458 0 8 #B3D6C8
BD18_1411061839_ims.csv 6 0.58694 3.385 8 #B04473
BD18_1411061839_ims.csv 3 0.63625 2.418 8 #BD9487
BD18_1411061839_ims.csv 6 0.79576 2.948 8 #B04473
BD18_1411061839_ims.csv 5 0.69077 3.915 8 #45F6F8
BD18_1411061839_ims.csv 33 0.74066 4.898 8 #A8ECE8
BD18_1411061839_ims.csv 12 0.58288 7.94 8 #7B2FD1
BD18_1411061839_ims.csv 42 0.71455 5.366 8 #A1E50F
BD18_1411061839_ims.csv 74 0.49704 6.973 8 #ED8ECB
BD18_1411061839_ims.csv 12 0.54866 7.94 8 #7B2FD1
BD18_1411061839_ims.csv 87 0.50922 12.838 8 #93F68A
BD18_1411061839_ims.csv 12 0.53648 8.392 8 #7B2FD1
BD18_1411061839_ims.csv 66 0.49008 24.304 8 #2117F5
BD18_1411061839_ims.csv 66 0.44831 24.757 8 #2117F5
BD18_1411061839_ims.csv 42 0.45295 5.366 8 #A1E50F
BD18_1411061839_ims.csv 49 0.87058 28.75 8 #21E96F
BD18_1411061839_ims.csv 49 0.7714 28.314 8 #21E96F
BD18_1411061839_ims.csv 49 0.90017 28.314 8 #21E96F
BD18_1411061839_ims.csv 49 0.79112 28.314 8 #21E96F
BD18_1411061839_ims.csv 67 0.80562 29.749 8 #E6FE79
BD18_1411061839_ims.csv 67 0.8178 29.749 8 #E6FE79
BD18_1411061839_ims.csv 15 0.8468 29.281 8 #EDD2E7
BD18_1411061839_ims.csv 49 0.87522 28.75 8 #21E96F
BD18_1411061839_ims.csv 49 0.90481 28.75 8 #21E96F
BD18_1411061839_ims.csv 48 0.71919 27.846 8 #C5AE95
BD18_1411061839_ims.csv 49 0.76038 28.314 8 #21E96F
BD18_1411061839_ims.csv 49 0.78474 28.314 8 #21E96F
BD18_1411061839_ims.csv 49 0.87987 28.75 8 #21E96F
BD18_1411061839_ims.csv 49 0.91873 28.75 8 #21E96F
BD18_1411061839_ims.csv 48 0.68729 27.846 8 #C5AE95
BD18_1411061839_ims.csv 49 0.64379 28.314 8 #21E96F
BD18_1411061839_ims.csv 88 0.68961 58.11 8 #5D9884
BD18_1411061839_ims.csv 89 0.44715 63.117 8 #D9C70A
BD18_1411061839_ims.csv 84 0.44773 35.724 8 #9495F5
BD18_1411061839_ims.csv 90 0.44657 76.518 8 #FDCDCB
BD18_1411061839_ims.csv 91 0.44715 43.726 8 #B32653
BD18_1411061839_ims.csv 92 0.48022 49.218 8 #FB96FF
BD18_1411061839_ims.csv 93 0.48022 64.568 8 #9928A5
BD18_1411061839_ims.csv 94 0.48022 79.981 8 #5D288A
BD18_1411061839_ims.csv 92 0.49008 49.218 8 #FB96FF
BD18_1411061839_ims.csv 95 0.49008 69.108 8 #293557
BD18_1411061839_ims.csv 96 0.49008 78.483 8 #048212
BD18_1411061839_ims.csv 97 0.7395 90.917 8 #E18D0F
BD18_1411061839_ims.csv 56 1.04634 95.425 8 #91B26F
BD18_1411061839_ims.csv 56 1.0417 95.425 8 #91B26F
BD18_1411061839_ims.csv 56 1.11478 95.425 8 #91B26F
BD18_1411061839_ims.csv 56 1.12058 95.425 8 #91B26F
BD18_1411061839_ims.csv 69 1.06548 95.955 8 #A7DC49
BD18_1411061839_ims.csv 34 1.07998 96.423 8 #D68295
BD18_1411061839_ims.csv 55 0.90655 93.397 8 #033BB3
BD18_1411061839_ims.csv 70 1.03764 97.375 8 #7CCE38
BD18_1411061839_ims.csv 56 0.95295 95.425 8 #91B26F
BD18_1411061839_ims.csv 71 1.10318 96.938 8 #3A5D16
BD18_1411061839_ims.csv 70 1.0562 97.375 8 #7CCE38
BD18_1411061839_ims.csv 56 0.94889 95.425 8 #91B26F
BD18_1411061839_ims.csv 70 1.05156 97.375 8 #7CCE38
BD18_1411061839_ims.csv 56 1.14204 95.425 8 #91B26F
BD18_1411061839_ims.csv 70 1.0707 97.375 8 #7CCE38
BD18_1411061839_ims.csv 70 1.08868 97.375 8 #7CCE38
BD18_1411061839_ims.csv 70 1.09564 97.375 8 #7CCE38
BD18_1411061839_ims.csv 70 0.96049 97.375 8 #7CCE38
BD18_1411061839_ims.csv 70 1.01327 97.375 8 #7CCE38
BD18_1411061839_ims.csv 56 0.98021 95.425 8 #91B26F
BD18_1411061839_ims.csv 98 0.60725 102.929 8 #DE5E90
BD18_1411061839_ims.csv 59 0.92569 100.885 8 #1DE74B
BD18_1411061839_ims.csv 37 0.88915 116.329 8 #12EB05
BD18_1411061839_ims.csv 99 0.48022 148.2 8 #C31304
BD18_1411061839_ims.csv 99 0.49008 148.637 8 #C31304
BD18_1411061829_ims.csv 1 0.47894 0 9 #B3D6C8
BD18_1411061829_ims.csv 1 0.50388 0 9 #B3D6C8
BD18_1411061829_ims.csv 8 0.58738 3.915 9 #9CC9CA
BD18_1411061829_ims.csv 6 0.79557 3.385 9 #B04473
BD18_1411061829_ims.csv 6 0.6361 2.948 9 #B04473
BD18_1411061829_ims.csv 9 0.69003 4.446 9 #AB8D22
BD18_1411061829_ims.csv 42 0.45285 5.444 9 #A1E50F
BD18_1411061829_ims.csv 100 0.58158 7.394 9 #3023EE
BD18_1411061829_ims.csv 74 0.4975 6.411 9 #ED8ECB
BD18_1411061829_ims.csv 10 0.53635 8.907 9 #2BE093
BD18_1411061829_ims.csv 12 0.54853 7.924 9 #7B2FD1
BD18_1411061829_ims.csv 40 0.57811 22.791 9 #C0ECE7
BD18_1411061829_ims.csv 11 0.59782 19.39 9 #1CC18B
BD18_1411061829_ims.csv 41 0.44821 14.414 9 #4DEB4C
